"rsp_id","rsp_age","rsp_age_cat","rsp_gender","rsp_edu","rsp_party","rsp_polscale","rsp_polside","rsp_polint","rsp_para_phone","exp_version","exp_post","exp_type","prs_n","prs_discuss","prs_friends","prs_gender","prs_language","prs_party","prs_polknow","prs_popularity","prs_religion","prs_shr_angle","prs_shr_party","prs_shr_theme","prs_post","prs_party_match","prs_shr_party_match","prs_party_like","prs_shr_party_like"
1000103,5,"60 yrs and above","Male","Higher","Conservative Party (CR)",9,"Right",3,"Did not use smart phone","Person-only",1,"Read",1,"Often","Met (through work or school)",NA,"Writes good norwegian","Conservative Party (CR)","A little knowledge","Few shares posts","None",NA,NA,NA,1,"Preferes the same party",NA,6,NA
1000116,2,"30-59 yrs","Male","Higher","Red Party (FL)",2,"Left",4,"Did not use smart phone","Person-only",2,"Share",1,"Sometimes","Close friends","Female","Writes bad norwegian","Agrarian Party (C)","A lot of knowledge","Many shares posts","None",NA,NA,NA,0,"Preferes different parties",NA,3,NA
1001786,1,"18-29 yrs","Female","Higher","Green Party (C)",6,"Centre",2,"Did not use smart phone","Person-only",1,"Read",1,"Often","Met (have common friends)","Male","Writes good norwegian","Conservative Party (CR)","A lot of knowledge","Few shares posts","Islam",NA,NA,NA,1,"Preferes different parties",NA,6,NA
1003042,4,"30-59 yrs","Male","Higher","Conservative Party (CR)",9,"Right",4,"Did not use smart phone","Person-only",1,"Read",1,"Seldom or never","Close friends",NA,"Writes bad norwegian","Agrarian Party (C)","A lot of knowledge","Few shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,2,NA
1002078,6,"60 yrs and above","Female","Higher","Progress Party (FR)",9,"Right",4,"Used smart phone","Person-only",2,"Share",1,NA,"Met (through work or school)","Male","Writes bad norwegian","Agrarian Party (C)","A little knowledge","Many shares posts","Christianity",NA,NA,NA,0,"Preferes different parties",NA,3,NA
1003168,2,"30-59 yrs","Female","Higher","Liberal Party (C)",5,"Left",3,"Used smart phone","Person-only",2,"Share",1,"Often","Close friends",NA,"Writes good norwegian","Christian Democrats (C)","A little knowledge","Many shares posts","Islam",NA,NA,NA,0,"Preferes different parties",NA,2,NA
1008572,4,"30-59 yrs","Male","Higher","Labour Party (CL)",5,"Left",3,"Did not use smart phone","Person-only",1,"Read",1,"Seldom or never","Met (have common friends)","Female","Writes bad norwegian","Conservative Party (CR)",NA,"Few shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,3,NA
1009773,5,"60 yrs and above","Male","Higher","Conservative Party (CR)",7,"Right",5,"Did not use smart phone","Person-only",1,"Read",1,"Sometimes","Met (through work or school)","Female","Writes good norwegian","Christian Democrats (C)","A lot of knowledge","Few shares posts","None",NA,NA,NA,1,"Preferes different parties",NA,2,NA
1010883,3,"30-59 yrs","Female","Higher","Conservative Party (CR)",7,"Right",1,"Did not use smart phone","Person-only",2,"Share",1,"Often","Met (through work or school)","Female","Writes good norwegian","Liberal Party (C)","A little knowledge",NA,"None",NA,NA,NA,0,"Preferes different parties",NA,3,NA
1005302,4,"30-59 yrs","Male","Higher",NA,9,"Right",4,"Did not use smart phone","Person-only",2,"Read",1,"Sometimes","Met (through work or school)","Male","Writes good norwegian","Progress Party (FR)","A lot of knowledge","Few shares posts","Christianity",NA,NA,NA,0,NA,NA,6,NA
1009804,2,"30-59 yrs","Male","Lower or intermediate","Labour Party (CL)",5,"Left",4,"Did not use smart phone","Person-only",2,"Share",1,"Often","Met (have common friends)",NA,"Writes good norwegian","Progress Party (FR)","A lot of knowledge","Few shares posts","Islam",NA,NA,NA,0,"Preferes different parties",NA,2,NA
1003478,5,"30-59 yrs","Female","Lower or intermediate","Labour Party (CL)",4,"Left",4,"Used smart phone","Person-only",2,"Share",1,"Often","Met (through work or school)","Female","Writes good norwegian","Liberal Party (C)","A little knowledge",NA,"None",NA,NA,NA,0,"Preferes different parties",NA,3,NA
1001318,4,"30-59 yrs","Female","Higher",NA,5,"Left",4,"Did not use smart phone","Person-only",2,"Share",1,"Often","Met (through work or school)","Male",NA,"Socialist Left Party (L)","A lot of knowledge","Few shares posts","None",NA,NA,NA,0,NA,NA,3,NA
1001059,5,"60 yrs and above","Male","Higher","Green Party (C)",7,"Right",4,"Did not use smart phone","Person-only",2,"Read",1,"Often",NA,"Male","Writes bad norwegian","Green Party (C)","A little knowledge","Many shares posts","Christianity",NA,NA,NA,0,"Preferes the same party",NA,6,NA
1002001,7,"60 yrs and above","Female","Higher","Conservative Party (CR)",9,"Right",4,"Did not use smart phone","Person-only",2,"Read",1,"Sometimes","Met (through work or school)","Male","Writes bad norwegian","Green Party (C)","A lot of knowledge","Many shares posts","Islam",NA,NA,NA,0,"Preferes different parties",NA,2,NA
1001159,5,"60 yrs and above","Male","Higher","Progress Party (FR)",9,"Right",3,"Did not use smart phone","Person-only",1,"Read",1,"Often","Met (have common friends)",NA,"Writes good norwegian","Conservative Party (CR)","A lot of knowledge","Many shares posts","None",NA,NA,NA,1,"Preferes different parties",NA,6,NA
1008343,6,"60 yrs and above","Male","Lower or intermediate","Labour Party (CL)",8,"Right",4,"Did not use smart phone","Person-only",2,"Read",1,"Sometimes","Met (through work or school)","Female","Writes good norwegian","Liberal Party (C)","A little knowledge","Many shares posts",NA,NA,NA,NA,0,"Preferes different parties",NA,3,NA
1001682,6,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)",8,"Right",4,"Did not use smart phone","Person-only",2,"Share",1,"Sometimes","Met (through work or school)","Male","Writes good norwegian","Red Party (FL)","A little knowledge","Few shares posts",NA,NA,NA,NA,0,"Preferes different parties",NA,1,NA
1006356,6,"60 yrs and above","Male","Higher","Liberal Party (C)",7,"Right",4,"Did not use smart phone","Person-only",2,"Share",1,"Often","Met (through work or school)","Female","Writes bad norwegian","Conservative Party (CR)",NA,"Many shares posts","None",NA,NA,NA,0,"Preferes different parties",NA,5,NA
1002746,7,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)",7,"Right",3,"Did not use smart phone","Person-only",1,"Share",1,"Sometimes","Close friends","Female","Writes bad norwegian","Agrarian Party (C)","A little knowledge","Few shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,3,NA
1002941,4,"30-59 yrs","Male","Higher","Conservative Party (CR)",8,"Right",4,"Did not use smart phone","Person-only",1,"Read",1,"Sometimes","Met (have common friends)","Male","Writes bad norwegian","Liberal Party (C)",NA,"Few shares posts","None",NA,NA,NA,1,"Preferes different parties",NA,6,NA
1000961,5,"60 yrs and above","Female","Higher","Conservative Party (CR)",8,"Right",4,"Did not use smart phone","Person-only",2,"Read",1,"Seldom or never","Met (through work or school)","Female","Writes bad norwegian","Christian Democrats (C)","A little knowledge","Many shares posts","Islam",NA,NA,NA,0,"Preferes different parties",NA,1,NA
1010263,3,"30-59 yrs","Male","Higher","Agrarian Party (C)",6,"Centre",2,"Did not use smart phone","Person-only",1,"Share",1,"Sometimes","Close friends","Female","Writes bad norwegian","Liberal Party (C)","A little knowledge",NA,"Christianity",NA,NA,NA,1,"Preferes different parties",NA,3,NA
1005192,6,"60 yrs and above","Male","Higher","Agrarian Party (C)",6,"Centre",5,"Did not use smart phone","Person-only",1,"Read",1,"Often","Close friends","Male","Writes good norwegian","Labour Party (CL)","A lot of knowledge","Few shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,5,NA
1009592,5,"60 yrs and above","Male","Higher","Liberal Party (C)",7,"Right",5,"Did not use smart phone","Person-only",2,"Read",1,"Sometimes","Close friends","Male","Writes bad norwegian","Progress Party (FR)","A little knowledge","Few shares posts",NA,NA,NA,NA,0,"Preferes different parties",NA,1,NA
1008143,4,"30-59 yrs","Female","Lower or intermediate","Conservative Party (CR)",10,"Right",4,"Used smart phone","Person-only",1,"Read",1,"Sometimes","Close friends","Female","Writes bad norwegian","Labour Party (CL)",NA,"Many shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,2,NA
1000787,6,"60 yrs and above","Female","Lower or intermediate","Conservative Party (CR)",8,"Right",5,"Used smart phone","Person-only",1,"Share",1,"Seldom or never","Met (have common friends)",NA,"Writes good norwegian","Agrarian Party (C)","A lot of knowledge","Few shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,3,NA
1010516,5,"60 yrs and above","Female","Higher","Liberal Party (C)",6,"Centre",5,"Did not use smart phone","Person-only",2,"Read",1,"Sometimes","Met (have common friends)","Female","Writes good norwegian","Socialist Left Party (L)","A lot of knowledge","Few shares posts","Islam",NA,NA,NA,0,"Preferes different parties",NA,5,NA
1000868,3,"30-59 yrs","Female","Higher","Labour Party (CL)",5,"Left",4,"Did not use smart phone","Person-only",2,"Share",1,"Seldom or never","Close friends","Female",NA,"Agrarian Party (C)","A lot of knowledge","Few shares posts","None",NA,NA,NA,0,"Preferes different parties",NA,4,NA
1006255,6,"60 yrs and above","Male","Higher","Conservative Party (CR)",9,"Right",3,"Did not use smart phone","Person-only",1,"Read",1,"Sometimes","Close friends","Female","Writes bad norwegian","Progress Party (FR)","A lot of knowledge",NA,"None",NA,NA,NA,1,"Preferes different parties",NA,NA,NA
1006648,6,"60 yrs and above","Male","Higher","Conservative Party (CR)",8,"Right",4,"Did not use smart phone","Person-only",1,"Read",1,"Sometimes","Met (through work or school)","Female","Writes good norwegian","Liberal Party (C)","A lot of knowledge","Few shares posts",NA,NA,NA,NA,1,"Preferes different parties",NA,2,NA
1006226,5,"30-59 yrs","Male","Higher","Progress Party (FR)",10,"Right",4,"Did not use smart phone","Person-only",2,"Read",1,"Sometimes","Met (have common friends)","Female","Writes bad norwegian","Green Party (C)","A lot of knowledge","Few shares posts","None",NA,NA,NA,0,"Preferes different parties",NA,1,NA
1010349,5,"30-59 yrs","Female","Higher","Green Party (C)",6,"Centre",4,"Did not use smart phone","Person-only",1,"Read",1,"Often","Close friends","Female","Writes bad norwegian","Socialist Left Party (L)","A lot of knowledge",NA,"Christianity",NA,NA,NA,1,"Preferes different parties",NA,4,NA
1002390,5,"60 yrs and above","Male","Higher","Labour Party (CL)",4,"Left",3,"Did not use smart phone","Person-only",1,"Read",1,"Sometimes","Met (have common friends)","Male","Writes bad norwegian","Christian Democrats (C)","A little knowledge","Few shares posts",NA,NA,NA,NA,1,"Preferes different parties",NA,3,NA
1007575,3,"30-59 yrs","Male","Higher","Labour Party (CL)",4,"Left",2,"Did not use smart phone","Person-only",1,"Read",1,"Seldom or never","Met (through work or school)","Male","Writes bad norwegian","Socialist Left Party (L)","A lot of knowledge","Few shares posts","None",NA,NA,NA,1,"Preferes different parties",NA,4,NA
1007584,4,"30-59 yrs","Male","Lower or intermediate","Progress Party (FR)",8,"Right",3,"Did not use smart phone","Person-only",1,"Read",1,"Sometimes","Met (have common friends)","Male","Writes good norwegian","Labour Party (CL)","A little knowledge","Few shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,3,NA
1004085,5,"60 yrs and above","Male","Higher","Conservative Party (CR)",7,"Right",4,"Did not use smart phone","Person-only",1,"Share",1,"Seldom or never","Met (have common friends)","Male",NA,"Conservative Party (CR)","A lot of knowledge","Few shares posts","Islam",NA,NA,NA,1,"Preferes the same party",NA,7,NA
1003279,6,"60 yrs and above","Female","Lower or intermediate","Agrarian Party (C)",7,"Right",4,"Did not use smart phone","Person-only",2,"Read",1,"Often","Close friends","Female","Writes bad norwegian","Green Party (C)","A lot of knowledge",NA,"Islam",NA,NA,NA,0,"Preferes different parties",NA,1,NA
1006149,6,"60 yrs and above","Male","Higher","Socialist Left Party (L)",5,"Left",4,"Did not use smart phone","Person-only",1,"Share",1,"Seldom or never","Close friends","Female","Writes bad norwegian","Green Party (C)","A lot of knowledge","Many shares posts","Islam",NA,NA,NA,1,"Preferes different parties",NA,4,NA
1000075,3,"30-59 yrs","Female","Higher","Socialist Left Party (L)",3,"Left",5,"Did not use smart phone","Person-only",2,"Read",1,"Sometimes","Close friends","Female","Writes bad norwegian","Labour Party (CL)",NA,"Many shares posts","None",NA,NA,NA,0,"Preferes different parties",NA,6,NA
1001610,5,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)",8,"Right",3,"Did not use smart phone","Person-only",1,"Read",1,"Seldom or never","Close friends",NA,"Writes bad norwegian","Conservative Party (CR)","A little knowledge","Many shares posts","None",NA,NA,NA,1,"Preferes the same party",NA,7,NA
1007106,7,"60 yrs and above","Male","Higher","Agrarian Party (C)",4,"Left",4,"Did not use smart phone","Person-only",1,"Share",1,NA,"Met (have common friends)","Female","Writes bad norwegian","Socialist Left Party (L)","A little knowledge","Many shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,2,NA
1000044,7,"60 yrs and above","Female","Higher","Socialist Left Party (L)",3,"Left",5,"Did not use smart phone","Person-only",1,"Share",1,"Sometimes","Met (have common friends)","Female","Writes bad norwegian","Socialist Left Party (L)","A lot of knowledge",NA,"None",NA,NA,NA,1,"Preferes the same party",NA,6,NA
1009193,4,"30-59 yrs","Male","Higher","Conservative Party (CR)",7,"Right",3,"Did not use smart phone","Person-only",1,"Read",1,"Sometimes","Met (have common friends)","Female","Writes bad norwegian","Labour Party (CL)",NA,"Many shares posts","Christianity",NA,NA,NA,1,"Preferes different parties",NA,5,NA
