"rsp_id","rsp_age","rsp_allow_priv","rsp_education","rsp_eq_rights","rsp_gender","rsp_like_ap","rsp_like_frp","rsp_like_h","rsp_like_krf","rsp_like_mdg","rsp_like_rodt","rsp_like_sp","rsp_like_sv","rsp_like_v","rsp_lower_taxes","rsp_mobile","rsp_not_allow_love","rsp_political_interest","rsp_priv_better","rsp_reduce_ineq","rsp_ref_social_rights","rsp_rel_div_good","rsp_would_vote_party","rsp_polint","rsp_polside"
1000001,2,NA,2,NA,"Female",4,3,1,3,3,4,1,4,3,NA,NA,NA,5,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000002,5,NA,3,NA,"Male",5,1,2,3,7,7,5,6,5,NA,NA,NA,4,NA,NA,NA,NA,9,"Interested in politics","Respondents on
the left"
1000003,7,NA,3,NA,"Male",3,3,6,4,5,1,3,2,2,NA,NA,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000004,7,NA,2,NA,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,"Interested in politics","Respondents on
the right"
1000005,1,NA,2,NA,"Male",3,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,3,NA,NA,NA,NA,7,"Not interested in politics",NA
1000006,1,NA,2,NA,"Male",4,4,4,4,4,4,4,4,4,NA,NA,NA,2,NA,NA,NA,NA,1,"Not interested in politics",NA
1000007,2,NA,3,NA,"Female",4,6,6,5,1,1,5,1,3,NA,1,NA,4,NA,NA,NA,NA,2,"Interested in politics","Respondents on
the right"
1000008,1,NA,NA,NA,"Female",1,1,1,3,NA,2,NA,5,2,NA,NA,NA,2,NA,NA,NA,NA,NA,"Not interested in politics",NA
1000009,1,NA,3,NA,"Female",2,3,3,3,3,2,3,3,3,NA,NA,NA,4,NA,NA,NA,NA,8,"Interested in politics","Respondents on
the left"
1000010,1,NA,2,NA,"Male",2,7,6,2,4,1,4,1,3,NA,NA,NA,5,NA,NA,NA,NA,NA,"Interested in politics",NA
