hl_id,hl_headline,hl_party_nor,hl_valance,hl_opinion,hl_direction,hl_valance_direction,hl_direction_wording,hl_party
1,Rødt-politiker foreslår å øke toppskatten,Rødt,neutral,lower_taxes,disagree,foreslår,øke,rodt
2,Sv-politiker foreslår å øke toppskatten,Sv,neutral,lower_taxes,disagree,foreslår,øke,sv
3,Ap-politiker foreslår å øke toppskatten,Ap,neutral,lower_taxes,disagree,foreslår,øke,ap
4,Sp-politiker foreslår å øke toppskatten,Sp,neutral,lower_taxes,disagree,foreslår,øke,sp
5,Mdg-politiker foreslår å øke toppskatten,Mdg,neutral,lower_taxes,disagree,foreslår,øke,mdg
6,Venstre-politiker foreslår å øke toppskatten,Venstre,neutral,lower_taxes,disagree,foreslår,øke,v
7,Krf-politiker foreslår å øke toppskatten,Krf,neutral,lower_taxes,disagree,foreslår,øke,krf
8,Høyre-politiker foreslår å øke toppskatten,Høyre,neutral,lower_taxes,disagree,foreslår,øke,h
9,Frp-politiker foreslår å øke toppskatten,Frp,neutral,lower_taxes,disagree,foreslår,øke,frp
10,Rødt-politiker får kjeft for forslag om å øke toppskatten,Rødt,negative,lower_taxes,disagree,får kjeft for forslag om,øke,rodt
11,Sv-politiker får kjeft for forslag om å øke toppskatten,Sv,negative,lower_taxes,disagree,får kjeft for forslag om,øke,sv
12,Ap-politiker får kjeft for forslag om å øke toppskatten,Ap,negative,lower_taxes,disagree,får kjeft for forslag om,øke,ap
13,Sp-politiker får kjeft for forslag om å øke toppskatten,Sp,negative,lower_taxes,disagree,får kjeft for forslag om,øke,sp
14,Mdg-politiker får kjeft for forslag om å øke toppskatten,Mdg,negative,lower_taxes,disagree,får kjeft for forslag om,øke,mdg
15,Venstre-politiker får kjeft for forslag om å øke toppskatten,Venstre,negative,lower_taxes,disagree,får kjeft for forslag om,øke,v
16,Krf-politiker får kjeft for forslag om å øke toppskatten,Krf,negative,lower_taxes,disagree,får kjeft for forslag om,øke,krf
17,Høyre-politiker får kjeft for forslag om å øke toppskatten,Høyre,negative,lower_taxes,disagree,får kjeft for forslag om,øke,h
18,Frp-politiker får kjeft for forslag om å øke toppskatten,Frp,negative,lower_taxes,disagree,får kjeft for forslag om,øke,frp
19,Rødt-politiker får skryt for forslag om å øke toppskatten,Rødt,positive,lower_taxes,disagree,får skryt for forslag om,øke,rodt
20,Sv-politiker får skryt for forslag om å øke toppskatten,Sv,positive,lower_taxes,disagree,får skryt for forslag om,øke,sv
21,Ap-politiker får skryt for forslag om å øke toppskatten,Ap,positive,lower_taxes,disagree,får skryt for forslag om,øke,ap
