"id","variable","wave","time_constant","reverse_scale"
"responseid","responseid",1,1,0
"subgroup","w01_u",1,0,0
"weight_1","w01_Weight1",1,0,0
"weight_2","w01_Weight2",1,0,0
"age","w01_P5_1",1,1,0
"gender","w01_P1",1,1,0
"region","w01_P2",1,1,0
"county","w01_P3",1,1,0
"education","w01_P4",1,1,0
"citizenship","w01_k28",1,1,0
"political_interest","w01_k1",1,1,1
"politics_complicated","w01_k14_1",1,1,1
"cannot_influence","w01_k14_2",1,1,1
"trust_general","w01_k15_99",1,1,0
"opinions_many","w01_k16_1",1,1,1
"opinions_strong","w01_k16_2",1,1,1
"like_krf","w01_k6_1",1,0,0
"like_h","w01_k6_2",1,0,0
"like_frp","w01_k6_3",1,0,0
"like_v","w01_k6_4",1,0,0
"like_sv","w01_k6_5",1,0,0
"like_sp","w01_k6_6",1,0,0
"like_mdg","w01_k6_7",1,0,0
"like_ap","w01_k6_8",1,0,0
"like_rodt","w01_k6_9",1,0,0
"gov_satisfaction","w01_k7",1,0,1
"eco_satisfaction","w01_k10",1,0,1
"dem_satisfaction","w01_k11",1,0,1
"reduce_ineq","w01_k31_1",1,0,1
"rel_div_good","w01_k31_2",1,0,1
"emi_red_abroad","w01_k31_3",1,0,1
"voted_2013","w01_k2",1,1,0
"voted_party_2013","w01_k3",1,1,0
"marital_status","w01_k27",1,1,0
"prohibit_begging","w01_dv29_2",1,0,1
"muslims_loyal_to_muslims","w01_dv29_4",1,0,1
"lose_identity_muslims","w01_dv29_3",1,0,1
"subgroup","w02_u",2,0,0
"weight_1","w02_weight1",2,0,0
"weight_2","w02_weight2",2,0,0
"age","w02_P5_1",2,1,0
"gender","w02_P1",2,1,0
"region","w02_P2",2,1,0
"county","w02_P3",2,1,0
"education","w02_P4_1",2,1,0
"health","w02_hp1",2,1,0
"like_krf","w02_k6_1",2,0,0
"like_h","w02_k6_2",2,0,0
"like_frp","w02_k6_3",2,0,0
"like_v","w02_k6_4",2,0,0
"like_sv","w02_k6_5",2,0,0
"like_sp","w02_k6_6",2,0,0
"like_mdg","w02_k6_7",2,0,0
"like_ap","w02_k6_8",2,0,0
"like_rodt","w02_k6_9",2,0,0
"gov_satisfaction","w02_k201",2,0,1
"eco_satisfaction","w02_k202",2,0,1
"dem_satisfaction","w02_k203",2,0,1
"lower_taxes","w02_dv201ac_1",2,0,1
"allow_priv","w02_dv201ac_2",2,0,1
"priv_better","w02_dv201ac_3",2,0,1
"not_allow_love","w02_km223abc_2",2,0,1
"reduce_ineq","w02_k205ac_1",2,0,1
"rel_div_good","w02_k205ac_2",2,0,1
"emi_red_abroad","w02_k205ac_3",2,0,1
"would_vote_party","w02_k204",2,0,0
"prohibit_begging","w02_dv202ac_2",2,0,1
"lose_identity_muslims","w02_dv202ac_3",2,0,1
"subgroup","w03_u",3,0,0
"recruited_w01","w03recruited_w01",3,1,0
"recruited_w03","w03recruited_w03",3,1,0
"weight_1","w03_Weight_1",3,0,0
"weight_2","w03_Weight_2",3,0,0
"age","w03_P5_1",3,1,0
"gender","w03_P1",3,1,0
"region","w03_P2",3,1,0
"county","w03_P3",3,1,0
"education","w03_P4_1",3,1,0
"health","w03_r3hp1",3,1,0
"citizenship","w03_r3k28",3,1,0
"political_interest","w03_r3k1",3,1,1
"politics_complicated","w03_r3k14_1",3,1,1
"cannot_influence","w03_r3k14_2",3,1,1
"trust_general","w03_r3k15",3,1,0
"opinions_many","w03_r3k16_1",3,1,1
"opinions_strong","w03_r3k16_2",3,1,1
"like_krf","w03_r3k6_1",3,0,0
"like_h","w03_r3k6_2",3,0,0
"like_frp","w03_r3k6_3",3,0,0
"like_v","w03_r3k6_4",3,0,0
"like_sv","w03_r3k6_5",3,0,0
"like_sp","w03_r3k6_6",3,0,0
"like_mdg","w03_r3k6_7",3,0,0
"like_ap","w03_r3k6_8",3,0,0
"like_rodt","w03_r3k6_9",3,0,0
"gov_satisfaction","w03_r3k202",3,0,1
"eco_satisfaction","w03_r3k10",3,0,1
"dem_satisfaction","w03_r3k11",3,0,1
"lower_taxes","w03_r3dv30_1",3,0,1
"allow_priv","w03_r3dv30_2",3,0,1
"priv_better","w03_r3dv30_3",3,0,1
"not_allow_love","w03_r3dvh_1",3,0,1
"ref_social_rights","w03_r3dvh_2",3,0,1
"eq_rights","w03_r3dvh_3",3,0,1
"reduce_ineq","w03_r3k31_1",3,0,1
"rel_div_good","w03_r3k31_2",3,0,1
"emi_red_abroad","w03_r3k31_3",3,0,1
"would_vote_party","w03_r3k204_1",3,0,0
"would_vote_party_2","w03_r3k204_2",3,0,0
"voted_party_2013","w03_r3k3_1",3,1,0
"voted_party_2013_2","w03_r3k3_2",3,1,0
"marital_status","w03_r3k27",3,1,0
"prohibit_begging","w03_r3dv29_1",3,0,1
"muslims_loyal_to_muslims","w03_r3dv29_3",3,0,1
"lose_identity_muslims","w03_r3dv29_2",3,0,1
"subgroup","r4_u",4,0,0
"recruited","r4Recruited",4,1,0
"weight_1","r4_Weight_1",4,0,0
"weight_2","r4_Weight_2",4,0,0
"age","r4P5_1",4,1,0
"gender","r4P1",4,1,0
"region","r4P2",4,1,0
"county","r4P3",4,1,0
"education","r4P4_1",4,1,0
"citizenship","r4k28",4,1,0
"like_krf","r4k6_1",4,0,0
"like_h","r4k6_2",4,0,0
"like_frp","r4k6_3",4,0,0
"like_v","r4k6_4",4,0,0
"like_sv","r4k6_5",4,0,0
"like_sp","r4k6_6",4,0,0
"like_mdg","r4k6_7",4,0,0
"like_ap","r4k6_8",4,0,0
"like_rodt","r4k6_9",4,0,0
"gov_satisfaction","r4k202",4,0,1
"eco_satisfaction","r4k10",4,0,1
"dem_satisfaction","r4k11",4,0,1
"lower_taxes","r4dv30_1",4,0,1
"allow_priv","r4dv30_2",4,0,1
"priv_better","r4dv30_3",4,0,1
"not_allow_love","r4dvh_1",4,0,1
"ref_social_rights","r4dvh_2",4,0,1
"eq_rights","r4dvh_3",4,0,1
"reduce_ineq","r4dv31_1",4,0,1
"rel_div_good","r4dv31_2",4,0,1
"emi_red_abroad","r4dv31_3",4,0,1
"would_vote_party_municipality","r4k43_1",4,1,0
"would_vote_party_county","r4k43_2",4,1,0
"voted_2015","r5k2",4,1,0
"would_vote_party","r4k204",4,0,0
"religion","r4k40",4,1,0
"marital_status","r4k27",4,1,0
"prohibit_begging","r4dv29_1",4,0,1
"muslims_loyal_to_muslims","r4dv29_3",4,0,1
"lose_identity_muslims","r4dv29_2",4,0,1
"subgroup","r5u",5,0,0
"recruited","r5rekruttert",5,1,0
